"Story","Title","Result","Date","Stability","Duration (s)"
"realizar un login en la plataforma de demoguru99 bank","Ingresar a mi home en la plataforma demoguru99","PENDING","2021-07-12T12:30:09.453-05:00[America/Bogota]","0.0","0.29"
"realizar un login en la plataforma de demoguru99 bank","Ingresar al home del perfil en la plataforma demoguru99","SUCCESS","2021-08-05T12:13:53.339-05:00[America/Bogota]","0.0","9.12"
